"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14350,"코리아정보리서치","천지일보",2025-05-23,2025-05-24,"1.42%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16240&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14349,"리얼미터","에너지경제신문",2025-05-22,2025-05-23,"2.18%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16239&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14348,"한길리서치","폴리뉴스",2025-05-22,2025-05-23,"1.32%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16237&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14347,"한국리서치","KBS",2025-05-20,2025-05-22,"5.17%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16236&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14345,"여론조사공정","펜앤마이크",2025-05-21,2025-05-22,"1.28%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16234&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14344,"한국갤럽","한국갤럽",2025-05-20,2025-05-22,"7.19%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16233&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14343,"여론조사꽃","여론조사꽃",2025-05-21,2025-05-22,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16232&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14340,"코리아정보리서치","천지일보",2025-05-21,2025-05-22,"1.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16229&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
