"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14367,"리서치앤리서치","동아일보",2025-05-24,2025-05-25,"1.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16256&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14360,"에이스리서치","한국지방신문협회",2025-05-24,2025-05-25,"3.49%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16252&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14358,"조원씨앤아이","한양경제",2025-05-24,2025-05-25,"1.33%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16250&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14356,"넥스트리서치","MBN/매일경제신문",2025-05-23,2025-05-25,"4.86%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16248&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14354,"한국갤럽","중앙일보",2025-05-24,2025-05-25,"6.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16246&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14351,"한국사회여론연구소(KSOI)","CBS",2025-05-23,2025-05-24,"3.45%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16238&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
