"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14324,"엠브레인","YTN",2025-05-18,2025-05-19,"4.57%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16212&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14314,"에이스리서치","뉴시스",2025-05-18,2025-05-19,"0.84%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16199&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14312,"넥스트리서치","MBN/매일경제신문",2025-05-16,2025-05-18,"4.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16197&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14310,"입소스","한국경제신문",2025-05-16,2025-05-17,"4.4%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16196&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14306,"한국사회여론연구소(KSOI)","CBS",2025-05-16,2025-05-17,"3.47%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16190&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
