"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14351,"한국사회여론연구소(KSOI)","CBS",2025-05-23,2025-05-24,"3.45%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16238&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14347,"한국리서치","KBS",2025-05-20,2025-05-22,"5.17%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16236&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14344,"한국갤럽","한국갤럽",2025-05-20,2025-05-22,"7.19%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16233&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14343,"여론조사꽃","여론조사꽃",2025-05-21,2025-05-22,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16232&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
