"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14347,"한국리서치","KBS",2025-05-20,2025-05-22,"5.17%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16236&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14344,"한국갤럽","한국갤럽",2025-05-20,2025-05-22,"7.19%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16233&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14343,"여론조사꽃","여론조사꽃",2025-05-21,2025-05-22,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16232&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14341,"윈지코리아","서울의소리",2025-05-21,2025-05-21,"1.41%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16230&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14339,"코리아리서치인터내셔널","전국지표조사(NBS)",2025-05-19,2025-05-21,"6.59%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16228&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14337,"한국갤럽","대한민국지방신문협의회",2025-05-20,2025-05-21,"3.63%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16227&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
